,Row,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other,Altered Title
0,126,journalArticle,2019,"Shamash, Sarah",Hexsa'am: To Be Here Always – Gallery as Big House.,Anthropologica,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=141824593&site=ehost-live,"Tweets or posts from the microblogging web site of University of British Columbia, regarding contemporary testimony of community leaders, indigenous visual sovereignty and self-determination are presented.",Sovereignty; Autonomy (Psychology),SocIndex,N/A,,,,,,,,Hexsa'am: To Be Here Always – Gallery as Big House.
1,1026,journalArticle,2009,"Mungiu-Pippidi, Alina; Munteanu, Igor","MOLDOVA'S ""TWITTER REVOLUTION"".",Journal of Democracy,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=43402568&site=ehost-live,"The article focuses upon the social and technological aspects that facilitated political protests within the European nation of Moldova during April 2009. Rioting erupted within the country after the Communist Party (PCRM) was reelected to power by a significant majority. This occurrence was not dissimilar from uprisings that have taken place elsewhere in Central Europe, resulting from Moldova’s geopolitical situation. The author examines how the Internet was utilized as a tool for social action in the planning of these demonstrations. While there was no media coverage of the uprising, Web sites such as Twitter and YouTube provided real time information about the rallies.",Twitter Inc.; Social action; YouTube LLC; Internet & society; Moldova; Public demonstrations -- Social aspects,SocIndex,212,,,,,,,,"MOLDOVA'S ""TWITTER REVOLUTION""."
2,1162,journalArticle,2009,"Terry, Nicolas",Social Networking and Health Law.,Law & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=45303069&site=ehost-live,"Social networks such as MySpace, Facebook, and Bebo connect friends and acquaintances that share history (say as classmates), strangers who share interests, or businesses and the customers they serve. Those who are interesting because they are famous or famous because they are interesting are ""followed"" by those who read their blogs or micro-blogs such as Twitter. Wikipedia observes that today ""social networking is a part of everyday life"" and there seem few limits on who is blogging on what or the types of online social interactions that are accepted. Equally, search is omnipresent as both a personal and professional tool. We routinely ""Google"" our friends and many view it as unprofessional to take a meeting with someone un-researched. Yet, how far can such practices (and their general acceptance) intrude into healthcare relationships and businesses? Do our legal and regulatory systems place any boundaries to such interactions? In the wake of high-profile hiring scandals the case can be made that no hospital or system should make a professional appointment without first performing a detailed background check using all available search tools. Equally, consumer-driven healthcare models suggest that patients should research their potential providers. But, should doctors research their patients? Would the legal system recognize an affirmative duty to ""Google"" or the opposite? And what of doctors who blog? What are the professional, credentialing, and privacy constraints? ..PAT.-Unpublished Manuscript [ABSTRACT FROM AUTHOR]",Social networks; Social interaction; Internet; Scandals; Interpersonal relations,SocIndex,37,,,,,,,,Social Networking and Health Law.
3,305,journalArticle,2010,"Jipson, Arthur",Building beyond the Crisis with Critical Social Media.,Conference Papers -- American Sociological Association,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=86647016&site=ehost-live,"This paper examines how the use of various social media (Facebook, Twitter, Skype, and other services) can be used to create a critical examination of the popular media and non-reflective news media on cable and broadcast sources. [ABSTRACT FROM AUTHOR]",Social media; Twitter (Web resource); Facebook (Web resource); Skype (Electronic resource); Broadcasting industry,SocIndex,32,,,,,,,,Building beyond the Crisis with Critical Social Media.
4,306,journalArticle,2010,"Jurgenson, Nathan",McDonaldization and the Internet.,Conference Papers -- American Sociological Association,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=86646947&site=ehost-live,"What is argued here is that McDonaldization, the theoretical concept put forth by George Ritzer, is of diminishing utility in its current form when analyzing the Internet, especially the most recent trends. The shift from a top-down, provider-generated Web 1.0 towards the bottom-up user-generated Web 2.0 is a trend towards unpredictability, incalculability, inefficiency and less subject to external control; a deMcDonaldization of the Web. These conclusions stem from an analysis of Web 2.0, such as social networking sites (e.g., Facebook, MySpace), media sharing sites (e.g., Flickr, YouTube), open source software (e.g., Linux, Firefox), Wikipedia, blogs and the blogosphere (including Twitter) and so on. It is argued here that the mechanism that allows the trend towards deMcDonaldization is the relative lack of scarcity in digital and user-generated environment as compared to the material world that the concept was created to describe. However, this argument is tempered by the fact that much of the Internet is highly rationalized. Many of the sites that allow for unpredictable user-generated content do so precisely because of their rationalized and standardized, thus McDonaldized, underlying structure. For example, Facebook, eBay and Wikipedia pages look and behave similarly for all users. Thus the conclusion is nuanced: that rationality and irrationality can comfortably coexist online, arguably due to the relative lack of scarcity. This conclusion, born out of abundance, is not possible under the McDonaldization thesis that was centered in a material world of scarcity. [ABSTRACT FROM AUTHOR]",Social networks; Microblogs; Open source software; Internet industry; Economic demand,SocIndex,32,,,,,,,,McDonaldization and the Internet.
5,206,journalArticle,2010,"Marshall, P. David",The promotion and presentation of the self: celebrity as marker of presentational media.,Celebrity Studies,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=50218733&site=ehost-live,"This article explores how the celebrity discourse of the self both presages and works as a pedagogical tool for the burgeoning world of presentational media and its users that is now an elemental part of new media culture. What is often understood as social media via social network sites is also a form of presentation of the self and produces this new hybrid among the personal, interpersonal and the mediated - what I am calling 'presentational media'. Via Facebook, MySpace, Friendster and Twitter individuals engage in an expression of the self that, like the celebrity discourse of the self, is not entirely interpersonal in nature nor is it entirely highly mediated or representational. This middle ground of self-expression - again partially mediated and partially interpersonal (and theoretically drawing from Erving Goffman's work) - has produced an expansion of the intertextual zone that has been the bedrock of the celebrity industry for more than half a century and now is the very centre of the social media networks of the internet and mobile media. The article investigates this convergence of presentation of the self through a study of social network patterns of presentation of celebrities and the very overcoded similarity in the patterns of self-presentation of millions of users. It relates these forms of presentation to the longer discourse of the self that informed the production of celebrity for most of the last century. [ABSTRACT FROM AUTHOR]",Social media; Social networks; Twitter Inc.; Twitter; Facebook; Internet users; social networks; Fame; Facebook Inc.; celebrity; Friendster Inc.; intercommunication; Intercommunication systems; MySpace Inc.; presentational media,SocIndex,696,,,,,,,,The promotion and presentation of the self: celebrity as marker of presentational media.
6,894,journalArticle,2011,"Bodle, Robert",REGIMES OF SHARING.,"Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=59530486&site=ehost-live,"This paper explores the values, characteristics, and conditions of interoperability provided by Open Application Programming Interfaces (Open APIs) used by Facebook to identify underlying tensions that may challenge the sustainability of the Web as an open, secure, and liberating communication space. Interoperability between major online social network services holds great potential for linking a broad range of platforms, spaces, and people together in exciting new ways. Open APIs support interoperability by providing the tools to share data used to develop popular and useful Web applications, achieve seamless integration of social media services, and give rise to mutually beneficial third-party developer ecosystems that build on top of social media platforms. Yet, while Open APIs provide new ways of sharing and participating, they also provide a means for companies like Facebook to achieve market dominance, as well as undermine privacy, data security, contextual integrity, user autonomy and freedom. This paper examines interoperability enabled by Open APIs among competing online services (Facebook, Google, YouTube, MySpace and Twitter) to identify the tenuous push and pull of competition and cooperation. The author provides a summary and analysis of Facebook's Open API releases over the last five years, to determine the underlying conditions for sharing and identify the social implications of their technical features. This paper concludes by suggesting ways that users can make more informed decisions about their sharing and perhaps change the underlying conditions of interoperability all together by developing more secure and user controllable social networks, Open APIs, and online applications. [ABSTRACT FROM AUTHOR]",Online social networks; Online information services; Facebook; social networks; YouTube LLC; political economy; Google Inc.; Information services; Open APIs; interoperability; sustainability,SocIndex,163,,,,,,,,REGIMES OF SHARING.
7,529,journalArticle,2011,"Farooq, Umer; Carroll, John M.",SUPPORTING AWARENESS IN CREATIVE GROUP WORK BY EXPOSING DESIGN RATIONALE.,Human Technology,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=65469888&site=ehost-live,"When creativity is taken as a long-term, complex, and collaborative activity, support for awareness is required for group members to monitor the development of ideas, track how these ideas became narrowed, and understand how alternatives are being implemented and integrated by colleagues. In this paper, we investigate the effects of exposing design rationale to convey awareness, specifically activity awareness, in group creativity. Through evaluating a prototype, we investigate status updates that convey design rationale, and to what consequences, in small groups in fully distributed collaboration. We found that status updates are used for a variety of purposes and that participants' comments on their collaborators' status updates provided feedback. Overall, results suggest that participants' awareness about their collaborators' future plans increased over time. Majority of participants found the status updates useful, particularly those with higher metacognitive knowledge. Based on our results, two design strategies for activity awareness are proposed. [ABSTRACT FROM AUTHOR]",Twitter; Technological innovations; Facebook; Metacognition; Information & communication technologies; Small groups; computer-supported awareness; Creative ability in technology; metacognition; status updates,SocIndex,3,,,,,,,,SUPPORTING AWARENESS IN CREATIVE GROUP WORK BY EXPOSING DESIGN RATIONALE.
8,1907,journalArticle,2011,"Fuchs, Christian","Teaching and Learning Guide for: New Media, Web 2.0 and Surveillance.",Sociology Compass,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=66588533&site=ehost-live,"This guide accompanies the following article: Christian Fuchs, 'New Media, Web 2.0 and Surveillance', Sociology Compass 5/2 (2011): 134-147, [DOI]. Introduction The Internet has become part of our everyday lives. Many of us use it for work, hobbies, entertainment, politics, staying in touch with friends and family, learning to know new people and other cultures, for getting all kind of information, etc. In the past 10 years, we have seen the emergence of platforms like Facebook and Myspace (social networking sites), Wordpress and Blogger (blogging) Twitter (social networking, microblogging), YouTube (video sharing), Wikipedia (wiki-based encyclopaedia), or the Pirate Bay (filesharing index site). The notions of 'web 2.0' and 'social media' have been used by some scholars to describe features of such sites such as community-building and maintenance, continuous communication, user-generated content production and diffusion, collaborative authoring, and distributed content classifications (the latter mechanism is also called folksonomy). Most web 2.0 platforms collect, store, and share a lot of personal user data and data about usage behaviour. Therefore, questions about privacy violations and online surveillance have arisen in public discussions, especially concerning Google (for example the discussions about Google targeted advertising, Google Street View, Google Buzz, etc.) and Facebook (for example the discussions concerning Facebook targeted advertising, Facebook beacon, the Facebook privacy policy, Facebook places, etc.). The field of web 2.0 surveillance studies critically asks questions about the data protection aspects and power dimensions of the contemporary Internet. It is crucial for students and scholars, who are interested in the contemporary media landscape, and who study in fields such as media/communication studies, cultural studies, political science, law, computer science, social informatics, information science, sociology, business studies, advertising, marketing and public relations, philosophy, ethics, science and technology studies etc., to also engage with web 2.0 surveillance studies. Recommended readings Fuchs, Christian. 2010. 'Labour in Informational Capitalism and on the Internet'. The Information Society 26(3): 179-96. doi: Christian Fuchs discusses in this article the political economy of the contemporary Internet. He does so by giving first an introduction to Karl Marx's analysis of capitalism that is then applied for understanding aspects of the exploitation of the users of contemporary commercial Internet platforms like Facebook. Fuchs uses Dallas Smythe's notion of the audience commodity for critically discussing the business models of web 2.0. He coins the notion of Internet prosumer labour in this context. He concludes that on commercial web 2.0 platforms, user activity tends to become exploited and is unpaid labour. Surveillance is situated in the framework of this analysis. Andrejevic, Mark. 2002. 'The Work of Being Watched'. Critical Studies in Media Communication 19(2): 230-48. doi: Mark Andrejevic argues in this article that contemporary commercial forms of interactive media make use of surveillance for exploiting consumers. He introduces in this context the notion of 'the work of being watched'. This concept is based on Sut Jhally's concept of the work of watching. Andrejevic also introduces the notion of the digital enclosure and gives very good examples for online surveillance. Albrechtslund, Anders. 2008. 'Online Social Networking as Participatory Surveillance'. First Monday 13(3). [online]. Retrieved on 1 March 2011 from: . In this article, Anders Albrechtslund introduces the notion of participatory surveillance. Other than Fuchs and Andrejevic, Albrechtslund has a rather positive concept of surveillance, he focuses on the description of potentially empowering aspects of social networking sites and other web 2.0 technologies. Albrechtslund stresses the social dimension of web 2.0, its ability for enabling communication, sharing, and community-building. Mathiesen, Thomas. 2004. Silently Silenced. Essays on the Creation of Acquiescence in Modern Society. Winchester: Waterside Press. In this short 100 page book, Thomas Mathiesen discusses mechanisms and examples of how political opposition is silently silenced, that is ideologically forestalled. The work is a masterpiece of contemporary ideology critique. Mathiesen identifies mechanisms of how silent silencing works and gives many examples. In chapter 8, it is discussed how the corporate Internet works as system of silent silencing or what Mathiesen terms the synopticon. Mathiesen's work is influenced among others by Foucault and Frankfurt School ideology critique. Campbell, John E. and Matt, Carlson M. 2002. 'Panopticon.com: Online Surveillance and the Commodification of Privacy'. Journal of Broadcasting & Electronic Media 46(4): 586-606. doi: In this paper, Campbell and Carlson discuss the usefulness of Michel Foucault's notion of the panopticon as technology of surveillance for explaining how Internet advertising and marketing work. They employ a political economy framework and argue that Internet advertising and marketing commodify users' private data and their privacy. Online materials The following online journals are very good sources for further papers about critical internet studies, information society studies, surveillance studies, and privacy studies: [ABSTRACT FROM AUTHOR]",Microblogs; Online social networks; Internet; Web 2.0; Privacy,SocIndex,226,,,,,,,,"Teaching and Learning Guide for: New Media, Web 2.0 and Surveillance."
9,2053,journalArticle,2011,"Headley, Sue",Youth matters.,Youth Studies Australia,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=62169722&site=ehost-live,"The article offers news briefs on youth in Australia. A briefing paper on romantic relationships of young people has been released by the U.S. research centre Child Trends. A research on mental health published in the ""Medical Journal of Australia"" determines anxiety and depression as the leading cause of disability among youth in the country. An initiative was developed towards strategies for enhance rural health service enhancement through Twitter online chats.",Australia; Youth; Mental depression; Online chat; Anxiety in adolescence,SocIndex,N/A,,,,,,,,Youth matters.
10,899,journalArticle,2011,"Hiles, Timothy; Staples, Cary",An Integrated Information System for the Disabled.,"International Journal of Diversity in Organisations, Communities & Nations",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=65534415&site=ehost-live,"Most of us would agree with Francis Bacon's oft-repeated sentiment: ""knowledge is power."" But to the physically disabled, knowledge is more appropriately identified with empowerment. That is a fine distinction but one that has profound implications. The former implies control over others; the latter conveys control over ones own life. Ramps, curb cuts, accessible entrances and bathrooms, public transportation, Braille signs, and crosswalks for the hearing impaired are all significant strides toward inclusion mandated by those in power. They make mobility possible for those with diverse physical disabilities. They do not necessarily empower; for that to occur a person must have knowledge of the enabling adaptation. Will there be curb cuts along my path? Will the building's entrance be accessible? Which bathrooms are accessible? Will the elevator be in service? Questions like these are addressed daily by those with disabilities who endeavor to go about their day unencumbered with the matter-of-fact attitude of the physically abled. At the University of Tennessee we are proposing a suite of integrated information systems that would provide a variety of archival resources as well as real-time information for the disabled in need of navigation assistance. This system would leverage existing technology, such as Google maps, GPS navigation, Twitter and other internet resources to develop site-specific, real-time resources that address a variety of mobility issues. [ABSTRACT FROM AUTHOR]",Technology; Global Positioning System; Information technology; Self-efficacy; Social integration; Theory of knowledge; Accessibility; Accessible design; Disability; Inclusion; Mobility; Mobility of people with disabilities,SocIndex,N/A,,,,,,,,An Integrated Information System for the Disabled.
